source,target,experimental_score
0610010F05Rik,Nicn1,0.169
0610010K14Rik,Bptf,0.077
0610010K14Rik,Hmgxb4,0.121
0610010K14Rik,Nanog,0.292
0610010K14Rik,Pou5f1,0.292
0610010K14Rik,Smarca1,0.055
0610010K14Rik,Smarca5,0.055
1110004F10Rik,Mbtps1,0.222
1110008P14Rik,Atp6v1d,0.271
1110032A03Rik,Tekt4,0.209
1110051M20Rik,Tpgs2,0.166
1700019N19Rik,Ccnb1ip1,0.23
1700021F07Rik,Ccnb1ip1,0.23
1700037H04Rik,Ppp1r7,0.325
1700094D03Rik,Nme7,0.379
1700123L14Rik,Kpna1,0.391
1700123L14Rik,Kpna6,0.207
1700123L14Rik,Kpnb1,0.074
1700123L14Rik,Nup153,0.259
1700123L14Rik,Nup43,0.073
1700123L14Rik,Ran,0.222
1810037I17Rik,Hmga2,0.292
1810046K07Rik,Traf6,0.164
2300002M23Rik,Ncor2,0.108
2310011J03Rik,Baiap2,0.237
2310022A10Rik,Foxp3,0.292
2510039O18Rik,Atp6ap1,0.241
2510039O18Rik,Atp6v0d1,0.152
2510039O18Rik,Atp6v0d2,0.152
2610301B20Rik,Ndn,0.23
2700049A03Rik,Cep120,0.292
2810004N23Rik,Nat10,0.355
2810004N23Rik,Utp3,0.332
4833439L19Rik,Snca,0.222
4930505A04Rik,Sh3bp4,0.222
4931428L18Rik,Ddx39b,0.155
4931428L18Rik,Ncbp1,0.08
4931428L18Rik,Nxf1,0.098
4931428L18Rik,Nxf2,0.098
4931428L18Rik,Nxf7,0.098
4931428L18Rik,Sarnp,0.058
4931428L18Rik,Srrm1,0.059
4931428L18Rik,Thoc1,0.058
4931428L18Rik,Thoc2,0.124
4931428L18Rik,Thoc2l,0.124
4931428L18Rik,Zc3h13,0.1
4932438A13Rik,B9d1,0.292
4933400A11Rik,Acta1,0.123
4933400A11Rik,Acta2,0.123
4933400A11Rik,Actc1,0.123
4933400A11Rik,Actr10,0.347
4933400A11Rik,Actr1a,0.383
4933400A11Rik,Actr3b,0.059
4933400A11Rik,Capza2,0.223
4933400A11Rik,Capzb,0.44
4933400A11Rik,Carmil1,0.242
4933400A11Rik,Cd2ap,0.277
4933400A11Rik,Dctn1,0.384
4933400A11Rik,Dctn2,0.384
4933400A11Rik,Dctn3,0.314
4933400A11Rik,Dctn4,0.383
4933400A11Rik,Dctn5,0.371
4933400A11Rik,Dctn6,0.349
4933400A11Rik,Dync1h1,0.207
4933400A11Rik,Dync1i2,0.207
4933400A11Rik,Dync1li2,0.207
4933400A11Rik,Mtpn,0.335
4933400A11Rik,Sh3kbp1,0.277
4933400A11Rik,Twf1,0.357
4933400A11Rik,Twf2,0.302
4933427D14Rik,Ccdc14,0.059
6430548M08Rik,App,0.222
6430548M08Rik,Ints4,0.222
8030462N17Rik,Csnk2a2,0.3
8030462N17Rik,Shmt1,0.222
8030462N17Rik,Srpk2,0.222
8030462N17Rik,Zranb2,0.324
9930104L06Rik,Cinp,0.136
A2m,Arl8b,0.421
A2m,Atp6v1a,0.328
A2m,Glb1,0.323
A2m,Prdx2,0.222
A830018L16Rik,Mcm7,0.222
Aaas,Ahctf1,0.267
Aaas,Gm49336,0.267
Aaas,Ndc1,0.561
Aaas,Nup107,0.382
Aaas,Nup133,0.334
Aaas,Nup155,0.425
Aaas,Nup160,0.267
Aaas,Nup188,0.409
Aaas,Nup205,0.409
Aaas,Nup210,0.267
Aaas,Nup214,0.485
Aaas,Nup35,0.322
Aaas,Nup37,0.267
Aaas,Nup43,0.267
Aaas,Nup54,0.409
Aaas,Nup62,0.157
Aaas,Nup85,0.267
Aaas,Nup88,0.267
Aaas,Nup93,0.409
Aaas,Nup98,0.267
Aaas,Nupl2,0.573
Aaas,Pom121,0.121
Aaas,Ranbp2,0.332
Aaas,Sec13,0.421
Aaas,Seh1l,0.567
Aaas,Senp2,0.222
Aacs,Fasn,0.329
Aacs,Hmga2,0.292
Aagab,Med21,0.292
Aak1,Ap1b1,0.198
Aak1,Ap2a1,0.122
